region,state,energy_type,start_date,end_date,start_value,end_value,change,change_sign
Eastern,Andaman & Nicobar Islands,coal,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Andaman & Nicobar Islands,gas,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Andaman & Nicobar Islands,diesel,2019-01-01,2023-12-01,40.05,92.71,52.66,Increase
Eastern,Andaman & Nicobar Islands,thermal_total,2019-01-01,2023-12-01,40.05,92.71,52.66,Increase
Eastern,Andaman & Nicobar Islands,nuclear,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Andaman & Nicobar Islands,hydro,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Andaman & Nicobar Islands,res,2019-01-01,2023-12-01,11.81,35.16,23.349999999999994,Increase
Eastern,Andaman & Nicobar Islands,grand_total,2019-01-01,2023-12-01,51.86,127.87,76.01,Increase
Eastern,Bihar,coal,2019-01-01,2023-12-01,5480.0,9060.0,3580.0,Increase
Eastern,Bihar,gas,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Bihar,diesel,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Bihar,thermal_total,2019-01-01,2023-12-01,5480.0,9060.0,3580.0,Increase
Eastern,Bihar,nuclear,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Bihar,hydro,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Bihar,res,2019-01-01,2023-12-01,326.15,420.26,94.11000000000001,Increase
Eastern,Bihar,grand_total,2019-01-01,2023-12-01,5806.15,9480.26,3674.1100000000006,Increase
Eastern,Jharkhand,coal,2019-01-01,2023-12-01,4590.0,4910.0,320.0,Increase
Eastern,Jharkhand,gas,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Jharkhand,diesel,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Jharkhand,thermal_total,2019-01-01,2023-12-01,4590.0,4910.0,320.0,Increase
Eastern,Jharkhand,nuclear,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Jharkhand,hydro,2019-01-01,2023-12-01,210.0,210.0,0.0,No Change
Eastern,Jharkhand,res,2019-01-01,2023-12-01,36.46,139.92,103.45999999999998,Increase
Eastern,Jharkhand,grand_total,2019-01-01,2023-12-01,4836.46,5259.92,423.46000000000004,Increase
Eastern,Odisha,coal,2019-01-01,2023-12-01,7680.0,9540.0,1860.0,Increase
Eastern,Odisha,gas,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Odisha,diesel,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Odisha,thermal_total,2019-01-01,2023-12-01,7680.0,9540.0,1860.0,Increase
Eastern,Odisha,nuclear,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Odisha,hydro,2019-01-01,2023-12-01,2142.25,2154.55,12.300000000000182,Increase
Eastern,Odisha,res,2019-01-01,2023-12-01,504.43,647.88,143.45,Increase
Eastern,Odisha,grand_total,2019-01-01,2023-12-01,10326.68,12342.43,2015.75,Increase
Eastern,Sikkim,coal,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Sikkim,gas,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Sikkim,diesel,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Sikkim,thermal_total,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Sikkim,nuclear,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,Sikkim,hydro,2019-01-01,2023-12-01,2169.0,2282.0,113.0,Increase
Eastern,Sikkim,res,2019-01-01,2023-12-01,52.12,59.8,7.68,Increase
Eastern,Sikkim,grand_total,2019-01-01,2023-12-01,2221.12,2341.8,120.68000000000029,Increase
Eastern,West Bengal,coal,2019-01-01,2023-12-01,14275.0,13487.0,-788.0,Decrease
Eastern,West Bengal,gas,2019-01-01,2023-12-01,100.0,80.0,-20.0,Decrease
Eastern,West Bengal,diesel,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Eastern,West Bengal,thermal_total,2019-01-01,2023-12-01,14375.0,13567.0,-808.0,Decrease
Eastern,West Bengal,nuclear,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
