ID,Month,State,peak_demand,peak_met,fy
44,Jan-2020, Chandigarh,265,265,2019-2020
45,Jan-2020, Delhi,5226,5226,2019-2020
46,Jan-2020, Haryana,7016,7016,2019-2020
47,Jan-2020, Himachal Pradesh,1786,1786,2019-2020
48,Jan-2020," 
UTs of J&K and Ladakh",3218,2574,2019-2020
49,Jan-2020, Punjab,6327,6327,2019-2020
50,Jan-2020, Rajasthan,14017,14017,2019-2020
51,Jan-2020, Uttar Pradesh,16987,16987,2019-2020
52,Jan-2020, Uttarakhand,2208,2208,2019-2020
53,Jan-2020, Northern Region,51338,50780,2019-2020
54,Jan-2020, Chhattisgarh,3828.6782,3826,2019-2020
55,Jan-2020, Gujarat,16189,16189,2019-2020
56,Jan-2020, Madhya Pradesh,14729,14729,2019-2020
57,Jan-2020, Maharashtra,22975,22975,2019-2020
58,Jan-2020, Daman & Diu,347,347,2019-2020
59,Jan-2020, Dadra & Nagar Haveli,816,816,2019-2020
60,Jan-2020, Goa,602.8531652083333,602.2208333333333,2019-2020
61,Jan-2020, Western Region,58643,58643,2019-2020
62,Jan-2020, Andhra Pradesh,9607.7067752,9605,2019-2020
63,Jan-2020, Telangana,11378.05241605,11359,2019-2020
64,Jan-2020, Karnataka,13169,13169,2019-2020
65,Jan-2020, Kerala,3873.403323666667,3784.5219,2019-2020
66,Jan-2020, Tamil Nadu,14370.521197,14336.1248,2019-2020
67,Jan-2020, Puducherry,378.250819875,378.084015,2019-2020
68,Jan-2020, Lakshadweep,8,8,2019-2020
69,Jan-2020, Southern Region,49174.97999993667,49165,2019-2020
70,Jan-2020, Bihar,4571.38236,4571.38236,2019-2020
71,Jan-2020, DVC,2979.424263893232,2979.424263893232,2019-2020
72,Jan-2020, Jharkhand,1372.693575542031,1372.693575542031,2019-2020
73,Jan-2020, Odisha,3614.93443893576,3603.897502833333,2019-2020
74,Jan-2020, West Bengal,6331.05036334825,6316.128509743981,2019-2020
75,Jan-2020, Sikkim,114.6802776805625,114.630127,2019-2020
76,Jan-2020, Andaman- Nicobar,58,54,2019-2020
77,Jan-2020, Eastern Region,18748.84525775863,18704.65550911834,2019-2020
78,Jan-2020, Arunachal Pradesh,124.683,117.24,2019-2020
79,Jan-2020, Assam,1581.858,1366.46,2019-2020
80,Jan-2020, Manipur,220.317,218.21,2019-2020
81,Jan-2020, Meghalaya,371.49,371.49,2019-2020
82,Jan-2020, Mizoram,126.92,126.92,2019-2020
83,Jan-2020, Nagaland,181.31,158.5,2019-2020
84,Jan-2020, Tripura,229,229,2019-2020
85,Jan-2020, North-Eastern Region,2619.557,2587.82,2019-2020
