region,state,id,month,coal,gas,diesel,thermal_total,nuclear,hydro,res,grand_total
Northern,Chandigarh,1,Jan-2019,0.00,0.00,0.00,0.00,0.00,0.00,32.40,32.40
Northern,Chandigarh,37,Feb-2019,0.00,0.00,0.00,0.00,0.00,0.00,32.40,32.40
Northern,Chandigarh,73,Mar-2019,0.00,0.00,0.00,0.00,0.00,0.00,34.71,34.71
Northern,Chandigarh,109,Apr-2019,0.00,0.00,0.00,0.00,0.00,0.00,34.71,34.71
Northern,Chandigarh,145,May-2019,0.00,0.00,0.00,0.00,0.00,0.00,34.71,34.71
Northern,Chandigarh,181,Jun-2019,0.00,0.00,0.00,0.00,0.00,0.00,34.71,34.71
Northern,Chandigarh,217,Jul-2019,0.00,0.00,0.00,0.00,0.00,0.00,36.57,36.57
Northern,Chandigarh,253,Aug-2019,0.00,0.00,0.00,0.00,0.00,0.00,36.99,36.99
Northern,Chandigarh,289,Sep-2019,0.00,0.00,0.00,0.00,0.00,0.00,36.99,36.99
Northern,Chandigarh,325,Oct-2019,0.00,0.00,0.00,0.00,0.00,0.00,36.99,36.99
Northern,Chandigarh,361,Nov-2019,0.00,0.00,0.00,0.00,0.00,0.00,36.99,36.99
Northern,Chandigarh,397,Dec-2019,0.00,0.00,0.00,0.00,0.00,0.00,36.99,36.99
Northern,Chandigarh,433,Jan-2020,0.00,0.00,0.00,0.00,0.00,0.00,36.99,36.99
Northern,Chandigarh,470,Feb-2020,0.00,0.00,0.00,0.00,0.00,0.00,36.99,36.99
Northern,Chandigarh,507,Mar-2020,0.00,0.00,0.00,0.00,0.00,0.00,40.55,40.55
Northern,Chandigarh,544,Apr-2020,0.00,0.00,0.00,0.00,0.00,0.00,40.55,40.55
Northern,Chandigarh,581,May-2020,0.00,0.00,0.00,0.00,0.00,0.00,40.90,40.90
Northern,Chandigarh,618,Jun-2020,0.00,0.00,0.00,0.00,0.00,0.00,41.55,41.55
Northern,Chandigarh,655,Jul-2020,0.00,0.00,0.00,0.00,0.00,0.00,42.34,42.34
Northern,Chandigarh,692,Aug-2020,0.00,0.00,0.00,0.00,0.00,0.00,42.94,42.94
Northern,Chandigarh,729,Sep-2020,0.00,0.00,0.00,0.00,0.00,0.00,42.94,42.94
Northern,Chandigarh,766,Oct-2020,0.00,0.00,0.00,0.00,0.00,0.00,42.94,42.94
Northern,Chandigarh,803,Nov-2020,0.00,0.00,0.00,0.00,0.00,0.00,42.94,42.94
Northern,Chandigarh,840,Dec-2020,0.00,0.00,0.00,0.00,0.00,0.00,45.16,45.16
Northern,Chandigarh,877,Jan-2021,0.00,0.00,0.00,0.00,0.00,0.00,45.16,45.16
Northern,Chandigarh,914,Feb-2021,0.00,0.00,0.00,0.00,0.00,0.00,45.16,45.16
Northern,Chandigarh,951,Mar-2021,0.00,0.00,0.00,0.00,0.00,0.00,45.16,45.16
Northern,Chandigarh,988,Apr-2021,0.00,0.00,0.00,0.00,0.00,0.00,49.37,49.37
Northern,Chandigarh,1025,May-2021,0.00,0.00,0.00,0.00,0.00,0.00,49.37,49.37
Northern,Chandigarh,1062,Jun-2021,0.00,0.00,0.00,0.00,0.00,0.00,49.58,49.58
Northern,Chandigarh,1099,Jul-2021,0.00,0.00,0.00,0.00,0.00,0.00,50.39,50.39
Northern,Chandigarh,1136,Aug-2021,0.00,0.00,0.00,0.00,0.00,0.00,51.97,51.97
Northern,Chandigarh,1173,Sep-2021,0.00,0.00,0.00,0.00,0.00,0.00,51.97,51.97
Northern,Chandigarh,1210,Oct-2021,0.00,0.00,0.00,0.00,0.00,0.00,53.45,53.45
Northern,Chandigarh,1246,Nov-2021,0.00,0.00,0.00,0.00,0.00,0.00,53.45,53.45
Northern,Chandigarh,1390,Dec-2021,0.00,0.00,0.00,0.00,0.00,0.00,53.45,53.45
Northern,Chandigarh,1426,Jan-2022,0.00,0.00,0.00,0.00,0.00,0.00,53.45,53.45
Northern,Chandigarh,1462,Feb-2022,0.00,0.00,0.00,0.00,0.00,0.00,53.45,53.45
